d,f
25.4,30
25.4,35.2
25.4,40.1
25.4,45
25.4,50.2
25.4,60.1
25.4,74.9
25.4,80
25.4,100.1
25.4,125
25.4,150
25.4,200.2
25.4,250
25.4,300.2
25.4,399.3
25.4,502.5
50.8,74.9
50.8,80
50.8,100
50.8,150
50.8,180
50.8,200
50.8,250
50.8,300
50.8,400
50.8,500
50.8,750
50.8,1000
